"Event Date","Serial Killer Name","Serial Killer Profile URL","Event Type","Year of Event"
"08/01/1936","Donald Neilson","https://skdb.fandom.com/wiki/Donald_Neilson","Birth","1936"
"08/01/1942","George Williams","https://skdb.fandom.com/wiki/George_Williams","Birth","1942"
"08/01/1951","Valery Skoptsov","https://skdb.fandom.com/wiki/Valery_Skoptsov","Birth","1951"
"08/01/1957","Moninder Singh","https://skdb.fandom.com/wiki/Moninder_Singh","Birth","1957"
"08/01/1959","Ángel Reséndiz","https://skdb.fandom.com/wiki/%C3%81ngel_Res%C3%A9ndiz","Birth","1959"
"08/01/1973","Darcie Jo Baum","https://skdb.fandom.com/wiki/Darcie_Jo_Baum","Birth","1973"
"08/01/1973","Marc Hoffmann","https://skdb.fandom.com/wiki/Marc_Hoffmann","Birth","1973"
"08/02/1944","Tony Costa","https://skdb.fandom.com/wiki/Tony_Costa","Birth","1944"
"08/02/1950","Mark Douglas Burns","https://skdb.fandom.com/wiki/Mark_Douglas_Burns","Birth","1950"
"08/02/1952","Major Morris","https://skdb.fandom.com/wiki/Major_Morris","Birth","1952"
"08/02/1957","Johnny Johnson","https://skdb.fandom.com/wiki/Johnny_Johnson","Birth","1957"
"08/02/1958","Curtis Don Brown","https://skdb.fandom.com/wiki/Curtis_Don_Brown","Birth","1958"
"08/03/1949","Leslie Burchart","https://skdb.fandom.com/wiki/Leslie_Burchart","Birth","1949"
"08/03/1957","Francisco del Junco","https://skdb.fandom.com/wiki/Francisco_del_Junco","Birth","1957"
"08/03/1959","Dellmus Colvin","https://skdb.fandom.com/wiki/Dellmus_Colvin","Birth","1959"
"08/03/1974","Mei Leung","https://skdb.fandom.com/wiki/Mei_Leung","Birth","1974"
"08/04/1921","Faye Copeland","https://skdb.fandom.com/wiki/Faye_Copeland","Birth","1921"
"08/04/1949","David Mark Pruett","https://skdb.fandom.com/wiki/David_Mark_Pruett","Birth","1949"
"08/04/1950","Kenneth Granviel","https://skdb.fandom.com/wiki/Kenneth_Granviel","Birth","1950"
"08/05/1907","Robert Irwin","https://skdb.fandom.com/wiki/Robert_Irwin","Birth","1907"
"08/05/1934","Robert Biehler","https://skdb.fandom.com/wiki/Robert_Biehler","Birth","1934"
"08/05/1961","Andrei Barausov","https://skdb.fandom.com/wiki/Andrei_Barausov","Birth","1961"
"08/05/1963","Amos Robinson","https://skdb.fandom.com/wiki/Amos_Robinson","Birth","1963"
"08/05/1973","Oto Biederman","https://skdb.fandom.com/wiki/Oto_Biederman","Birth","1973"
"08/05/1998","James Fairweather","https://skdb.fandom.com/wiki/James_Fairweather","Birth","1998"
"08/06/1824","William Palmer","https://skdb.fandom.com/wiki/William_Palmer","Birth","1824"
