"Event Date","Serial Killer Name","Serial Killer Profile URL","Event Type","Year of Event"
"12/01/1919","Bill Doi","https://skdb.fandom.com/wiki/Bill_Doi","Birth","1919"
"12/01/1946","Robert Breton","https://skdb.fandom.com/wiki/Robert_Breton","Birth","1946"
"12/01/1959","Luis Raúl Menocchio","https://skdb.fandom.com/wiki/Luis_Ra%C3%BAl_Menocchio","Birth","1959"
"12/01/1965","Gholamreza Khoshroo Kurdieh","https://skdb.fandom.com/wiki/Gholamreza_Khoshroo_Kurdieh","Birth","1965"
"12/01/1986","Johnny Avalos","https://skdb.fandom.com/wiki/Johnny_Avalos","Birth","1986"
"12/02/1951","Wilson Chouest","https://skdb.fandom.com/wiki/Wilson_Chouest","Birth","1951"
"12/03/1949","Fernando Caro","https://skdb.fandom.com/wiki/Fernando_Caro","Birth","1949"
"12/03/1957","José Antonio Rodríguez Vega","https://skdb.fandom.com/wiki/Jos%C3%A9_Antonio_Rodr%C3%ADguez_Vega","Birth","1957"
"12/03/1961","Wayne Adam Ford","https://skdb.fandom.com/wiki/Wayne_Adam_Ford","Birth","1961"
"12/03/1963","Scott Williams","https://skdb.fandom.com/wiki/Scott_Williams","Birth","1963"
"12/03/1972","Alexander Artyomov","https://skdb.fandom.com/wiki/Alexander_Artyomov","Birth","1972"
"12/04/1867","Emil Schutte","https://skdb.fandom.com/wiki/Emil_Schutte","Birth","1867"
"12/04/1946","Billy Richardson","https://skdb.fandom.com/wiki/Billy_Richardson","Birth","1946"
"12/04/1960","Cesar Barone","https://skdb.fandom.com/wiki/Cesar_Barone","Birth","1960"
"12/05/1956","Lê Thanh Vân","https://skdb.fandom.com/wiki/L%C3%AA_Thanh_V%C3%A2n","Birth","1956"
"12/05/1960","Kurt-Friedhelm Steinwegs","https://skdb.fandom.com/wiki/Kurt-Friedhelm_Steinwegs","Birth","1960"
"12/05/1972","Farit Gabidullin","https://skdb.fandom.com/wiki/Farit_Gabidullin","Birth","1972"
"12/05/1972","Timur Gabidullin","https://skdb.fandom.com/wiki/Timur_Gabidullin","Birth","1972"
"12/06/1825","Edward William Pritchard","https://skdb.fandom.com/wiki/Edward_William_Pritchard","Birth","1825"
"12/06/1941","Richard Speck","https://skdb.fandom.com/wiki/Richard_Speck","Birth","1941"
"12/06/1957","Dana Sue Gray","https://skdb.fandom.com/wiki/Dana_Sue_Gray","Birth","1957"
"12/06/1957","Darrell Samson","https://skdb.fandom.com/wiki/Darrell_Samson","Birth","1957"
"12/06/1974","Harvey Miguel Robinson","https://skdb.fandom.com/wiki/Harvey_Miguel_Robinson","Birth","1974"
"12/07/1968","Bradley Edwards","https://skdb.fandom.com/wiki/Bradley_Edwards","Birth","1968"
"12/08/1929","Richard Eberling","https://skdb.fandom.com/wiki/Richard_Eberling","Birth","1929"
"12/08/1932","Rudy Bladel","https://skdb.fandom.com/wiki/BLADEL_Rudy","Birth","1932"
"12/08/1965","Loren Herzog","https://skdb.fandom.com/wiki/Loren_Herzog","Birth","1965"
"12/08/1969","Li Guangjun","https://skdb.fandom.com/wiki/Li_Guangjun","Birth","1969"
"12/08/1972","Billy Chemirmir","https://skdb.fandom.com/wiki/Billy_Chemirmir","Birth","1972"
"12/08/1972","Dmitry Golubev","https://skdb.fandom.com/wiki/Dmitry_Golubev","Birth","1972"
"12/09/1944","Harry Greenwell","https://skdb.fandom.com/wiki/Harry_Greenwell","Birth","1944"
"12/09/1947","James Edward Wood","https://skdb.fandom.com/wiki/James_Edward_Wood","Birth","1947"
"12/09/1959","John Martin Scripps","https://skdb.fandom.com/wiki/John_Martin_Scripps","Birth","1959"
"12/09/1986","Nicholas Brent Gibson","https://skdb.fandom.com/wiki/Nicholas_Brent_Gibson","Birth","1986"
"12/10/1748","Luísa de Jesus","https://skdb.fandom.com/wiki/Lu%C3%ADsa_de_Jesus","Birth","1748"
"12/10/1874","William Coffey","https://skdb.fandom.com/wiki/William_Coffey","Birth","1874"
"12/10/1927","Harvey Glatman","https://skdb.fandom.com/wiki/Harvey_Glatman","Birth","1927"
"12/10/1946","Robert Breton","https://skdb.fandom.com/wiki/Robert_Breton","Birth","1946"
"12/10/1977","Rocky Beamon","https://skdb.fandom.com/wiki/Rocky_Beamon","Birth","1977"
"12/11/1935","Joseph Kallinger","https://skdb.fandom.com/wiki/Joseph_Kallinger","Birth","1935"
"12/11/1944","Dámaso Rodríguez Martín","https://skdb.fandom.com/wiki/D%C3%A1maso_Rodr%C3%ADguez_Mart%C3%ADn","Birth","1944"
"12/11/1952","Robert Boyd Rhoades","https://skdb.fandom.com/wiki/Robert_Boyd_Rhoades","Birth","1952"
"12/11/1955","Joaquín Villalón Díez","https://skdb.fandom.com/wiki/Joaqu%C3%ADn_Villal%C3%B3n_D%C3%ADez","Birth","1955"
"12/11/1959","Reuben Smith","https://skdb.fandom.com/wiki/Reuben_Smith","Birth","1959"
"12/11/1962","Larry Hall","https://skdb.fandom.com/wiki/Larry_Hall","Birth","1962"
"12/11/1971","James David Martin","https://skdb.fandom.com/wiki/James_David_Martin","Birth","1971"
"12/11/1980","Peter Barber","https://skdb.fandom.com/wiki/Peter_Barber","Death","1980"
"12/12/1899","Arnold Sodeman","https://skdb.fandom.com/wiki/Arnold_Sodeman","Birth","1899"
"12/12/1917","Eddie Leonski","https://skdb.fandom.com/wiki/Eddie_Leonski","Birth","1917"
"12/12/1931","Gilbert Paul Jordan","https://skdb.fandom.com/wiki/Gilbert_Paul_Jordan","Birth","1931"
"12/12/1934","Dick Marquette","https://skdb.fandom.com/wiki/Dick_Marquette","Birth","1934"
"12/12/1945","José Paz Bezerra","https://skdb.fandom.com/wiki/Jos%C3%A9_Paz_Bezerra","Birth","1945"
"12/12/1946","Richard Allen Jensen","https://skdb.fandom.com/wiki/Richard_Allen_Jensen","Birth","1946"
"12/12/1952","Ahmad Suradji","https://skdb.fandom.com/wiki/Ahmad_Suradji","Birth","1952"
"12/12/1954","Dorothy Williams","https://skdb.fandom.com/wiki/Dorothy_Williams_(III)","Birth","1954"
"12/12/1963","José Victor Fortes","https://skdb.fandom.com/wiki/Jos%C3%A9_Victor_Fortes","Birth","1963"
"12/12/1970","Martin Ney","https://skdb.fandom.com/wiki/Martin_Ney","Birth","1970"
"12/13/1863","Carl Großmann","https://skdb.fandom.com/wiki/Carl_Gro%C3%9Fmann","Birth","1863"
"12/13/1957","Garry Artman","https://skdb.fandom.com/wiki/Garry_Artman","Birth","1957"
"12/13/1963","Francisco Benitez","https://skdb.fandom.com/wiki/Francisco_Benitez","Birth","1963"
"12/14/1865","George Chapman","https://skdb.fandom.com/wiki/George_Chapman","Birth","1865"
"12/14/1901","Jake Bird","https://skdb.fandom.com/wiki/Jake_Bird","Birth","1901"
"12/14/1925","Akira Nishiguchi","https://skdb.fandom.com/wiki/Akira_Nishiguchi","Birth","1925"
"12/14/1954","Billy Lee Chadd","https://skdb.fandom.com/wiki/Billy_Lee_Chadd","Birth","1954"
