"Event Date","Serial Killer Name","Serial Killer Profile URL","Event Type","Year of Event"
"02/01/1942","Richard Steeves","https://skdb.fandom.com/wiki/Richard_Steeves","Birth","1942"
"02/01/1966","Sean King","https://skdb.fandom.com/wiki/Sean_King","Birth","1966"
"02/01/1978","Very Idham Henyansyah","https://skdb.fandom.com/wiki/Very_Idham_Henyansyah","Birth","1978"
"02/02/1848","Frederick Jahns","https://skdb.fandom.com/wiki/Frederick_Jahns","Birth","1848"
"02/02/1940","James Miller","https://skdb.fandom.com/wiki/James_Miller","Birth","1940"
"02/02/1990","Oscar García Guzmán","https://skdb.fandom.com/wiki/Oscar_Garc%C3%ADa_Guzm%C3%A1n","Birth","1990"
"02/03/1969","Steven Gordon","https://skdb.fandom.com/wiki/Steven_Gordon","Birth","1969"
"02/03/1984","William Davis","https://skdb.fandom.com/wiki/William_Davis","Birth","1984"
"02/04/1963","Garcia Glen White","https://skdb.fandom.com/wiki/Garcia_Glen_White","Birth","1963"
"02/04/1972","Vincent Hudson","https://skdb.fandom.com/wiki/Vincent_Hudson","Birth","1972"
"02/04/1973","Dale Hausner","https://skdb.fandom.com/wiki/Dale_Hausner","Birth","1973"
"02/04/1988","Tiago Henrique Gomes da Rocha","https://skdb.fandom.com/wiki/Tiago_Henrique_Gomes_da_Rocha","Birth","1988"
"02/05/1897","Miyuki Ishikawa","https://skdb.fandom.com/wiki/Miyuki_Ishikawa","Birth","1897"
"02/05/1908","Eugène Weidmann","https://skdb.fandom.com/wiki/Eug%C3%A8ne_Weidmann","Birth","1908"
"02/05/1948","Roy Norris","https://skdb.fandom.com/wiki/Roy_Norris","Birth","1948"
"02/05/1949","Donald Blom","https://skdb.fandom.com/wiki/Donald_Blom","Birth","1949"
"02/05/1959","Gail Mathews","https://skdb.fandom.com/wiki/Gail_Mathews","Other Event","1959"
"02/05/1980","Patricia Martínez","https://skdb.fandom.com/wiki/Patricia_Mart%C3%ADnez","Birth","1980"
"02/06/1927","Glennon Engleman","https://skdb.fandom.com/wiki/Glennon_Engleman","Birth","1927"
"02/06/1951","Alan Phillips","https://skdb.fandom.com/wiki/Alan_Phillips","Birth","1951"
"02/06/1970","Hugo Osorio Chávez","https://skdb.fandom.com/wiki/Hugo_Osorio_Ch%C3%A1vez","Birth","1970"
"02/06/1971","Ronald Janssen","https://skdb.fandom.com/wiki/Ronald_Janssen","Birth","1971"
"02/06/1979","Mikhail Neznamov","https://skdb.fandom.com/wiki/Mikhail_Neznamov","Birth","1979"
"02/07/1855","Edward Bates Soper","https://skdb.fandom.com/wiki/Edward_Bates_Soper","Birth","1855"
