"Event Date","Serial Killer Name","Serial Killer Profile URL","Event Type","Year of Event"
"01/01/1938","Boris Gusakov","https://skdb.fandom.com/wiki/Boris_Gusakov","Birth","1938"
"01/01/1940","Clifford Olson","https://skdb.fandom.com/wiki/Clifford_Olson","Birth","1940"
"01/01/1961","Donald Broadnax","https://skdb.fandom.com/wiki/Donald_Broadnax","Birth","1961"
"01/01/1962","Pyotr Gerankov","https://skdb.fandom.com/wiki/Pyotr_Gerankov","Birth","1962"
"01/01/1966","Viorel Chirilă","https://skdb.fandom.com/wiki/Viorel_Chiril%C4%83","Birth","1966"
"01/01/1977","Patrick Soultana","https://skdb.fandom.com/wiki/Patrick_Soultana","Birth","1977"
"01/01/1986","Yeyson Liendo Mamani","https://skdb.fandom.com/wiki/Yeyson_Liendo_Mamani","Birth","1986"
"01/02/1938","Ian Brady","https://skdb.fandom.com/wiki/Ian_Brady","Birth","1938"
"01/02/1942","Gen Sekine","https://skdb.fandom.com/wiki/Gen_Sekine","Birth","1942"
"01/02/1944","Anthony Sully","https://skdb.fandom.com/wiki/Anthony_Sully","Birth","1944"
"01/02/1958","Robert Willie","https://skdb.fandom.com/wiki/Robert_Willie","Birth","1958"
"01/02/1967","Marcelo Costa de Andrade","https://skdb.fandom.com/wiki/Marcelo_Costa_de_Andrade","Birth","1967"
"01/03/1946","Phillip Jablonski","https://skdb.fandom.com/wiki/Phillip_Jablonski","Birth","1946"
"01/03/1961","Thomas Rung","https://skdb.fandom.com/wiki/Thomas_Rung","Birth","1961"
"01/04/1943","Lowell Amos","https://skdb.fandom.com/wiki/Lowell_Amos","Birth","1943"
"01/04/1965","David Allen Rundle","https://skdb.fandom.com/wiki/David_Allen_Rundle","Birth","1965"
"01/04/1990","Lucy Letby","https://skdb.fandom.com/wiki/Lucy_Letby","Birth","1990"
"01/05/1915","Ted Carr","https://skdb.fandom.com/wiki/Ted_Carr","Birth","1915"
"01/05/1961","Edward Spreitzer","https://skdb.fandom.com/wiki/Edward_Spreitzer","Birth","1961"
