"Event Date","Serial Killer Name","Serial Killer Profile URL","Event Type","Year of Event"
"05/01/1965","Sergey Lozovoi","https://skdb.fandom.com/wiki/Sergey_Lozovoi","Birth","1965"
"05/02/1809","Isaac Heller","https://skdb.fandom.com/wiki/Isaac_Heller","Birth","1809"
"05/02/1938","William Paul Thompson","https://skdb.fandom.com/wiki/William_Paul_Thompson","Birth","1938"
"05/02/1949","Brian Alpress Hunt","https://skdb.fandom.com/wiki/Brian_Alpress_Hunt","Birth","1949"
"05/02/1955","Lindsey Robert Rose","https://skdb.fandom.com/wiki/Lindsey_Robert_Rose","Birth","1955"
"05/02/1965","Eric Napoletano","https://skdb.fandom.com/wiki/Eric_Napoletano","Birth","1965"
"05/02/1968","Zhang Youtian","https://skdb.fandom.com/wiki/Zhang_Youtian","Birth","1968"
"05/02/1978","Rio Alex Bulo","https://skdb.fandom.com/wiki/Rio_Alex_Bulo","Birth","1978"
"05/03/1962","Rubén Millatureo Vargas","https://skdb.fandom.com/wiki/Rub%C3%A9n_Millatureo_Vargas","Birth","1962"
"05/03/1967","Ronald Lee Moore","https://skdb.fandom.com/wiki/Ronald_Lee_Moore","Birth","1967"
"05/03/1974","Eric Matthews","https://skdb.fandom.com/wiki/Eric_Matthews","Birth","1974"
"05/04/1949","Marvin Irvin","https://skdb.fandom.com/wiki/Marvin_Irvin","Birth","1949"
"05/04/1962","Honoré Zanchi","https://skdb.fandom.com/wiki/Honor%C3%A9_Zanchi","Birth","1962"
"05/04/1970","Karla Homolka","https://skdb.fandom.com/wiki/Karla_Homolka","Birth","1970"
"05/05/1760","Sophie Ursinus","https://skdb.fandom.com/wiki/Sophie_Ursinus","Birth","1760"
"05/05/1892","George Frank Sack","https://skdb.fandom.com/wiki/George_Frank_Sack","Birth","1892"
"05/05/1912","William Dale Archerd","https://skdb.fandom.com/wiki/William_Dale_Archerd","Birth","1912"
"05/05/1950","Zaven Almazyan","https://skdb.fandom.com/wiki/Zaven_Almazyan","Birth","1950"
"05/05/1962","Elvira Yegorycheva","https://skdb.fandom.com/wiki/Elvira_Yegorycheva","Birth","1962"
"05/05/2002","Lucho Plátano","https://skdb.fandom.com/wiki/Lucho_Pl%C3%A1tano","Birth","2002"
"05/06/1920","Martha Beck","https://skdb.fandom.com/wiki/Martha_Beck","Birth","1920"
"05/06/1927","Ansis Kaupēns","https://skdb.fandom.com/wiki/Ansis_Kaup%C4%93ns","Death","1927"
"05/06/1928","Werner Boost","https://skdb.fandom.com/wiki/Werner_Boost","Birth","1928"
"05/06/1930","David Carpenter","https://skdb.fandom.com/wiki/David_Carpenter","Birth","1930"
"05/06/1969","Kim Hae-sun","https://skdb.fandom.com/wiki/Kim_Hae-sun","Birth","1969"
"05/06/1984","Sibusiso Duma","https://skdb.fandom.com/wiki/Sibusiso_Duma","Birth","1984"
"05/07/1954","Tony Garcia","https://skdb.fandom.com/wiki/Tony_Garcia","Birth","1954"
"05/07/1958","Tracy Housel","https://skdb.fandom.com/wiki/Tracy_Housel","Birth","1958"
"05/07/1973","Dale Scheanette","https://skdb.fandom.com/wiki/Dale_Scheanette","Birth","1973"
"05/08/1807","Johann Oberreiter","https://skdb.fandom.com/wiki/Johann_Oberreiter","Birth","1807"
"05/08/1950","Christine Freund","https://skdb.fandom.com/wiki/Christine_Freund","Birth","1950"
"05/08/1955","Danny Barber","https://skdb.fandom.com/wiki/Danny_Barber","Birth","1955"
"05/08/1966","Jaroslav Stodola","https://skdb.fandom.com/wiki/Jaroslav_Stodola","Birth","1966"
"05/09/1938","Carroll Cole","https://skdb.fandom.com/wiki/Carroll_Cole","Birth","1938"
"05/09/1949","Arthur Ream","https://skdb.fandom.com/wiki/Arthur_Ream","Birth","1949"
"05/09/1956","Wayne Henley","https://skdb.fandom.com/wiki/Wayne_Henley","Birth","1956"
"05/09/1967","Tammie Liles","https://skdb.fandom.com/wiki/Tammie_Liles","Birth","1967"
"05/09/1967","Christopher Lovrien","https://skdb.fandom.com/wiki/Christopher_Lovrien","Birth","1967"
"05/10/1976","Charles Duffy","https://skdb.fandom.com/wiki/Charles_Duffy","Birth","1976"
"05/10/1978","Cory Morris","https://skdb.fandom.com/wiki/Cory_Morris","Birth","1978"
"05/10/1983","Ludivine Chambet","https://skdb.fandom.com/wiki/Ludivine_Chambet","Birth","1983"
"05/11/1954","Daniel Conahan","https://skdb.fandom.com/wiki/Daniel_Conahan","Birth","1954"
